10S KH AC JS QD JH 2 0
AD JD QH 9S JC AC 2 0
9D QS AH KD 9H QH 3 0
JS 9D JC KC QS QD 2 1
JH 10C QH QC QS 9S 1 0
KH QC AC JH AH JS 0 1
JD AH KS JS QC 10C 3 0
JS 9S 10C 9H JH 10S 2 0
KD AC 9C 9D JS KS 3 0
AD JH KH 9C KC 9S 2 0
KH KC JD 10H JC 9D 3 0
10C 9S AC 9H 10H JD 2 0
QH JC QC KS JH JS 3 0
JH QH AC JC 9S KH 2 1
AC JD KS KC QD QC 3 0
10D 9C KH JS AS KS 3 0
QS 10H QH AH KH QC 3 0
QH KD AC AD JD 9H 0 1
JH QH QS 10C AH KC 2 1
10C 10H JC 10D QH AD 0 0
JC 10C 9D JS KS 10S 2 1
QD AD KH KD JS AH 2 0
JS JC KC AS AC QH 2 1
KC 10H 10C 9C QS KS 0 0
10S 10C 10H AC JS JD 3 0
AC 10D QC QD KC 9S 2 0
JD 10C JC 10D 9C AH 2 0
KS KH 9S AC QH JD 2 0
JS 10H JD KD JC 10D 3 0
KD AH 9C QS 9H KC 3 0
KC 9H 9S AH JD 9C 2 0
QS QD AH QH AS 9S 0 1
10H 9S JC 10C AD AH 0 0
QD JD AC KH QS KS 0 0
JC KD QC 10D KC 10H 2 0
KS 10C 10D 9C QH AC 3 0
10H AC JH KC QS AD 2 0
10C QS 9S JH 10D KC 0 0
10S QH AS QS 9S AC 0 1
9H 10S QH 9C QD AC 1 0
10D AC 10S JC AS JS 0 0
QD 10D KD JH JS 10C 0 1
JD AS KC AH 10S AD 0 1
KC AC AD KH KD QD 2 0
JD 10S KH JC 9H 10C 2 0
JC 10D JS 9H KD KH 0 1
JH KH 10S JD QC JC 2 1
9D QC 10D KS JH QH 0 0
JH KC 9D JD AS QH 2 1
KC QC 10C AS 10S QS 0 1
AS KS JH QD JD QS 3 0
JD KS AD KC QC KH 0 1
10D 9S 10H 10S KS AS 3 0
KS 10S JS AH 9S AD 3 1
10H 10D QD AD JD 9H 0 1
10C QD 10D JH AD 10H 2 0
10D 10S 10C AD AS QD 0 1
KS QC QH AC JD JS 2 0
JD 9C AD QH 10C KC 1 0
9C JD 10C QD AD AS 2 0
